ProfileName,ProductId,Summary,Text
"Michael Mcclure ""Timer""",B001EQ4P2I,Simply the BEST!!!,Our order arrived yesterday and this morning we placed an order for more - the taste is addictive!!  Just enough punch and spice.
Cupcakes,B0061UQ6ME,Starbucks house blend k-cups,Very pleased with our order.  Coffee was fresh and an excellent choice.  Would order again.  The price was better then we could find in our area.
"KC ""Amazon Customer""",B000BLLWCS,good product,The item was exactly as described and was received in a timely manner. The only problem was that the 3 items were packed too tight so that one of the containers broke and spilled into the shipping box...The box was sealed so that there was no problem in product quality. Will buy from them again
"Wendy K. Mueller ""53722sam""",B000E1FXNY,americana instant custard pudding,"I have been searching for years for the instant version of americana custard pudding. I am allergic to eggs and this was the only egg free product I could eat, and I loved it. Just mix it in a blender with milk, refrigerate and enjoy. Always got compliments from guests too. Now the americana cook and serve I'm sure is great, but what happened to my instant?"
John E. Harris,B000H9K3EW,sugar alcohol good and bad,"Dear Amazon,I have purchased s/f black licorice from Amazon and I love it!  The problem is that the sweetener (sugar alcohol) causes me the worse gas (flatulence) I have ever experienced!  What exactly is the problem?  And is there a solution?  Sinderely,  John Harris  [...]"
"ferrethouse ""ferrethouse""",B001RVFERK,Popchips,"Love the Popchips.  Less calories then regular chips, so you can eat more.  Cheddar kinda tastes like a white cheddar to me."
Richard Fiske,B000PVV7X8,One of the best,"Was happy to see Amazon carry this granola - at one to two dollars a bag cheaper than what I typically see at the store.  Even as a single guy, six bags aren't going to last that long."
"Stephanie ""Aussie in USA""",B001JDHUUA,Bless you Amazon,Thank you for making Vegemite available. Now just offer the larger jar sizes and I'll really be a Happy Little Vegemite.
"E. Paches ""elsa""",B002J75TG2,Preserve peach with a lot of mildew - returned,"Do not buy this item from this supplier.  I cannot believed my eyes when I opened the bottle.  There was a thick green stuff so I checked the label and realized that it was a mildew.  Because of this, I will never buy food from Amazon again and I do a lot of shopping from Amazon."
P. MacDonald,B001VIYCK4,Best cat food ever?,Wow if i knew how much cats would love this stuff i would have been feeding it to any and all of my cats long ago.  You would think it was wet food the way my kitty chows it down.  I got it because he had gingivitus and i had to spend quite a bit to have his teeth worked on.  The vet told me his teeth are still looking nice and clean a few months later!
"S. Arya ""SA""",B001EPQVEO,"Out of date Peanuts, expired","I ordered these 3 times and the expiry date on all of them was Jan 2012. Not sure why they did this, very disappointed."
Marion L. Kunkle,B001L4JH5I,Two years I have been using Pamela's Bread Mix and I am very satisfied.  The bread is easy to make and very tasty.,"I have added Italian Seasoning,onion and garlic powderto the batter, very tasty.  Scant on the oil."
Consumer Advocate,B001D0KG5K,Wonderful,"I have tried several pumkin flavored coffees, & found none that could come close to Green Mountain's fall seasonal offering of ""Pumkin Spice"".However, I find this one equally as good.  I will always buy this one since to me, there is little difference in flavor, if any that I can detect, (not to mention it is about one half the price).  Thanks Amazon for offering this.  I absolutely love this coffee."
TLR,B000UXY2EC,Last time I ordered it sucked.,"First two times I ordered the milk was awesome.  Last time I ordered two cases they were all smashed and the milk was horrible.  I was unable to return it because amazon said it was nonreturnable. The first two times I got the milk I would have given five stars, now I would advise against buying it.  They can't even stand by their product by allowing a return on a bad batch."
Deadwood,B0015TFTB0,wonderful coffee and perfect size pouch,"The Gevalia dark roast is one of the best coffees I have ever had.  It is bold yet smooth and is great at any time, even in the morning.  I really love the pouches, they are the perfect size for the full pot that I make so there is no chance of measuring the wrong amount of coffee for the pot.  Also it is great to just be able to open the pouch and pour the coffee in the filter when i am sleepy in the morning."
T. Mayer,B002MAWZX6,Good but not a Brownie,These are very good but not like a brownie.  It is a chocolate muffin with a nut topping.  I followed the directions as stated on the back of the box except I used a 12 count muffin pan sprayed with butter flavored cooking spray.  They did not stick and made a pretty good size muffin.  I will play with the amount of water and egg whites next time to try to make a more brownie like batter.  If that works out I would defiantly buy them again.
Penelope Helenick Addy,B00141OX52,Best Dog Treats Around at Amazon,"Besides being tasty, Happy Hips is good for your dog. It's a quality product by a great company dedicated to making only the best food and treats. Also, by signing up for recurring shipments, you are saving money. It's win, win, win."
Matthew G Hilla,B004FRLTMW,Good - but not great,"While this makes a decent Root beer, it doesn't quite have that deep flavorful ""bite"" you would expect out of a natural root beer at this price. Using the recommended mix - it just tastes ""thin"".  Adding more to compensate and it is just too sweet. My personal preference is more  Sassafras root, and deeper flavor...While it beats the majority of the big brands in flavor -- but it doesn't hold up against the other naturals."
